Constituent,Julian_day,Seg_2  ,Seg_3  ,Seg_4  ,Seg_5  ,Seg_6  ,Seg_7  ,Seg_8  ,Seg_9  ,Seg_10 ,Seg_11 ,Seg_12 ,Seg_13 ,Seg_14 ,Seg_15 ,Seg_16 ,Seg_17 ,Seg_18 ,Seg_19 ,Seg_20 ,Seg_21 ,Seg_22 ,Seg_23 ,Seg_24 ,Seg_25 ,Seg_26 ,Seg_27 ,Seg_28 ,Seg_29 ,
Oxyg                                  , 42179.000,   109.951,   106.515,   109.711,   109.641,   109.794,   108.963,   110.345,   110.127,   109.760,   109.534,   109.642,   109.741,   109.625,   109.502,   109.488,   109.384,   109.340,   108.951,   107.620,   106.688,   106.197,   106.193,   105.910,   106.203,   106.194,   106.197,   106.294,   106.370,
TDG(                                  , 42179.000,   110.482,   107.072,   110.307,   110.216,   110.328,   109.391,   110.706,   110.506,   110.221,   110.090,   110.218,   110.414,   110.486,   110.424,   110.427,   110.479,   110.322,   110.606,   109.889,   108.723,   108.658,   109.444,   108.961,   109.781,   109.855,   109.718,   109.886,   109.748,
Temperature, 42180.000,    19.313,    19.306,    19.293,    19.265,    19.299,    19.414,    19.586,    19.676,    19.643,    19.573,    19.554,    19.667,    19.871,    19.925,    19.933,    19.919,    19.955,    19.946,    20.023,    20.083,    19.990,    19.838,    20.043,    19.833,    19.726,    19.775,    19.717,    19.611,
N2                                    , 42180.000,    16.222,    15.724,    16.211,    16.193,    16.179,    15.971,    16.110,    16.084,    16.072,    16.069,    16.050,    15.989,    15.958,    15.941,    15.942,    15.941,    15.933,    15.923,    15.815,    15.671,    15.630,    15.699,    15.514,    15.660,    15.690,    15.666,    15.700,    15.741,
Dissolved_oxygen                      , 42180.000,     9.722,     9.417,     9.703,     9.683,     9.665,     9.544,     9.634,     9.616,     9.598,     9.587,     9.581,     9.549,     9.526,     9.511,     9.509,     9.502,     9.496,     9.486,     9.402,     9.310,     9.282,     9.309,     9.204,     9.283,     9.301,     9.285,     9.311,     9.335,
Oxyg                                  , 42180.000,   110.075,   106.598,   109.771,   109.613,   109.673,   108.677,   109.908,   109.633,   109.275,   109.098,   109.279,   109.348,   109.227,   109.095,   109.062,   108.995,   108.998,   108.952,   107.930,   107.056,   106.686,   106.516,   105.843,   106.155,   106.123,   106.042,   106.229,   106.279,
TDG(                                  , 42180.000,   110.696,   107.244,   110.495,   110.420,   110.543,   109.483,   110.641,   110.402,   110.186,   110.073,   110.168,   110.352,   110.396,   110.465,   110.365,   110.547,   110.330,   111.012,   110.707,   109.803,   109.690,   110.185,   109.155,   110.067,   110.027,   109.820,   109.968,   109.820,
Temperature, 42181.000,    19.310,    19.304,    19.311,    19.329,    19.364,    19.439,    19.605,    19.668,    19.634,    19.634,    19.601,    19.659,    19.800,    19.838,    19.861,    19.883,    19.912,    20.030,    19.941,    20.150,    20.104,    19.883,    20.105,    19.912,    19.854,    19.944,    19.918,    19.833,
N2                                    , 42181.000,    16.223,    15.722,    16.196,    16.184,    16.197,    16.027,    16.187,    16.155,    16.113,    16.100,    16.076,    16.022,    15.990,    15.963,    15.955,    15.948,    15.895,    15.930,    15.820,    15.656,    15.670,    15.768,    15.576,    15.695,    15.687,    15.623,    15.639,    15.670,
Dissolved_oxygen                      , 42181.000,     9.740,     9.432,     9.712,     9.700,     9.700,     9.593,     9.692,     9.670,     9.635,     9.613,     9.594,     9.557,     9.534,     9.516,     9.513,     9.503,     9.482,     9.462,     9.391,     9.303,     9.301,     9.342,     9.247,     9.307,     9.295,     9.255,     9.275,     9.294,
Oxyg                                  , 42181.000,   110.305,   106.838,   110.043,   110.000,   110.172,   109.317,   110.578,   110.248,   109.844,   109.519,   109.436,   109.320,   109.162,   109.040,   109.075,   108.928,   109.040,   108.497,   107.925,   107.299,   107.093,   107.055,   106.525,   106.719,   106.438,   106.160,   106.310,   106.354,
TDG(                                  , 42181.000,   110.883,   107.450,   110.715,   110.709,   110.946,   110.106,   111.335,   111.036,   110.721,   110.653,   110.484,   110.701,   110.699,   110.903,   110.802,   110.832,   110.740,   111.309,   111.385,   110.603,   110.771,   111.391,   110.347,   111.151,   110.971,   110.574,   110.586,   110.516,
Temperature, 42182.000,    19.300,    19.296,    19.301,    19.309,    19.351,    19.452,    19.654,    19.716,    19.725,    19.696,    19.681,    19.742,    19.916,    19.898,    19.933,    19.972,    19.968,    19.978,    20.000,    20.258,    20.218,    19.999,    20.233,    20.004,    19.960,    20.067,    20.044,    19.955,
N2                                    , 42182.000,    16.088,    15.596,    16.075,    16.085,    16.103,    15.943,    16.124,    16.111,    16.106,    16.105,    16.112,    16.069,    16.037,    15.996,    15.973,    15.964,    15.930,    15.935,    15.827,    15.675,    15.657,    15.751,    15.598,    15.731,    15.726,    15.657,    15.684,    15.693,
Dissolved_oxygen                      , 42182.000,     9.651,     9.352,     9.637,     9.632,     9.635,     9.544,     9.663,     9.658,     9.647,     9.635,     9.633,     9.601,     9.571,     9.540,     9.525,     9.511,     9.491,     9.478,     9.407,     9.317,     9.296,     9.324,     9.251,     9.322,     9.314,     9.272,     9.296,     9.302,
Oxyg                                  , 42182.000,   109.687,   106.302,   109.554,   109.600,   109.860,   109.255,   110.763,   110.726,   110.530,   110.354,   110.473,   110.466,   110.110,   109.860,   109.823,   109.541,   109.460,   109.211,   108.678,   108.112,   107.679,   107.444,   107.206,   107.511,   107.286,   106.998,   107.203,   107.090,
TDG(                                  , 42182.000,   110.424,   107.045,   110.342,   110.480,   110.799,   110.132,   111.530,   111.490,   111.350,   111.296,   111.443,   112.041,   111.665,   111.758,   111.880,   111.793,   111.409,   112.396,   112.764,   112.235,   112.055,   112.673,   111.732,   112.758,   112.671,   112.224,   112.368,   112.119,
Temperature, 42183.000,    19.373,    19.349,    19.337,    19.347,    19.400,    19.491,    19.754,    19.821,    19.765,    19.769,    19.770,    19.848,    20.012,    20.034,    20.090,    20.111,    20.103,    20.141,    20.166,    20.469,    20.425,    20.179,    20.417,    20.120,    20.054,    20.153,    20.125,    20.018,
N2                                    , 42183.000,    15.910,    15.447,    15.938,    15.941,    15.949,    15.769,    15.945,    15.955,    15.963,    15.985,    16.010,    16.013,    16.014,    15.997,    15.985,    15.999,    15.968,    15.957,    15.830,    15.667,    15.640,    15.745,    15.613,    15.739,    15.747,    15.696,    15.736,    15.751,
Dissolved_oxygen                      , 42183.000,     9.548,     9.262,     9.550,     9.543,     9.541,     9.441,     9.559,     9.566,     9.561,     9.561,     9.571,     9.575,     9.573,     9.559,     9.551,     9.548,     9.529,     9.502,     9.415,     9.317,     9.291,     9.326,     9.257,     9.317,     9.315,     9.291,     9.323,     9.327,
Oxyg                                  , 42183.000,   108.958,   105.622,   108.918,   108.961,   109.147,   108.538,   110.084,   110.037,   109.985,   109.979,   110.274,   110.655,   110.719,   110.714,   110.718,   110.538,   110.541,   110.109,   109.420,   108.853,   108.311,   108.068,   107.831,   107.905,   107.732,   107.656,   107.936,   107.743,
TDG(                                  , 42183.000,   109.658,   106.376,   109.764,   109.872,   110.104,   109.579,   110.799,   110.760,   110.828,   110.956,   111.238,   112.134,   112.313,   112.396,   112.430,   112.745,   112.739,   113.344,   114.024,   113.637,   113.423,   114.037,   113.064,   114.062,   114.126,   113.834,   114.056,   113.837,
Temperature, 42184.000,    19.169,    19.282,    19.368,    19.432,    19.508,    19.608,    19.858,    19.936,    19.973,    19.979,    19.898,    19.955,    20.164,    20.238,    20.264,    20.232,    20.275,    20.281,    20.405,    20.743,    20.642,    20.374,    20.626,    20.323,    20.214,    20.291,    20.226,    20.109,
N2                                    , 42184.000,    16.001,    15.498,    15.947,    15.925,    15.920,    15.715,    15.859,    15.823,    15.812,    15.834,    15.851,    15.853,    15.866,    15.878,    15.893,    15.910,    15.907,    15.912,    15.815,    15.676,    15.656,    15.762,    15.593,    15.731,    15.742,    15.714,    15.751,    15.798,
Dissolved_oxygen                      , 42184.000,     9.610,     9.299,     9.563,     9.541,     9.529,     9.413,     9.509,     9.488,     9.471,     9.469,     9.475,     9.480,     9.484,     9.488,     9.495,     9.498,     9.499,     9.489,     9.417,     9.332,     9.305,     9.336,     9.247,     9.310,     9.309,     9.298,     9.326,     9.351,
Oxyg                                  , 42184.000,   109.695,   106.291,   109.461,   109.390,   109.479,   108.685,   109.961,   109.807,   109.630,   109.415,   109.623,   110.121,   110.375,   110.512,   110.569,   110.558,   110.786,   110.738,   110.183,   109.740,   109.187,   108.749,   108.527,   108.388,   108.151,   108.163,   108.369,   108.303,
TDG(                                  , 42184.000,   110.294,   106.989,   110.246,   110.289,   110.410,   109.448,   110.610,   110.511,   110.442,   110.464,   110.547,   111.501,   112.167,   112.804,   112.638,   113.038,   112.945,   114.184,   115.360,   114.607,   114.762,   115.688,   114.429,   115.025,   115.532,   115.371,   115.611,   115.567,
Temperature, 42185.000,    19.268,    19.255,    19.250,    19.251,    19.282,    19.360,    19.591,    19.701,    19.734,    19.792,    19.872,    20.012,    20.296,    20.367,    20.442,    20.408,    20.448,    20.462,    20.702,    21.059,    20.869,    20.565,    20.893,    20.473,    20.345,    20.410,    20.338,    20.216,
N2                                    , 42185.000,    16.308,    15.790,    16.253,    16.217,    16.190,    15.960,    16.090,    16.029,    15.960,    15.898,    15.841,    15.766,    15.740,    15.719,    15.728,    15.740,    15.749,    15.715,    15.670,    15.602,    15.621,    15.736,    15.594,    15.748,    15.755,    15.727,    15.767,    15.814,
Dissolved_oxygen                      , 42185.000,     9.811,     9.497,     9.772,     9.747,     9.728,     9.588,     9.665,     9.622,     9.569,     9.517,     9.475,     9.430,     9.411,     9.395,     9.398,     9.400,     9.406,     9.368,     9.332,     9.292,     9.292,     9.331,     9.253,     9.322,     9.316,     9.304,     9.334,     9.360,
Oxyg                                  , 42185.000,   111.357,   107.779,   110.901,   110.683,   110.644,   109.549,   110.681,   110.271,   109.789,   109.355,   109.185,   109.271,   109.231,   109.247,   109.260,   109.234,   109.538,   109.351,   109.187,   109.250,   108.980,   108.588,   108.432,   108.251,   107.927,   107.952,   108.140,   108.162,
TDG(                                  , 42185.000,   111.947,   108.374,   111.543,   111.355,   111.331,   110.229,   111.345,   110.983,   110.631,   110.344,   110.162,   110.692,   110.769,   111.464,   111.300,   111.672,   111.843,   114.197,   115.390,   115.078,   115.445,   116.163,   115.250,   116.221,   116.159,   115.958,   115.900,   115.397,
Temperature, 42186.000,    19.437,    19.401,    19.368,    19.353,    19.364,    19.363,    19.559,    19.760,    19.808,    19.768,    19.688,    19.686,    19.961,    20.066,    20.173,    20.218,    20.320,    20.410,    20.749,    21.113,    20.905,    20.615,    20.996,    20.627,    20.510,    20.560,    20.457,    20.320,
N2                                    , 42186.000,    16.388,    15.894,    16.375,    16.356,    16.369,    16.162,    16.278,    16.230,    16.197,    16.165,    16.130,    16.010,    15.919,    15.839,    15.802,    15.765,    15.712,    15.607,    15.539,    15.480,    15.529,    15.660,    15.539,    15.737,    15.768,    15.742,    15.784,    15.820,
Dissolved_oxygen                      , 42186.000,     9.830,     9.527,     9.816,     9.803,     9.807,     9.689,     9.776,     9.757,     9.736,     9.706,     9.678,     9.598,     9.534,     9.476,     9.451,     9.418,     9.387,     9.299,     9.248,     9.215,     9.232,     9.284,     9.226,     9.329,     9.332,     9.317,     9.346,     9.363,
Oxyg                                  , 42186.000,   111.910,   108.389,   111.631,   111.521,   111.563,   110.633,   112.086,   111.988,   111.643,   111.115,   110.788,   110.456,   109.987,   109.594,   109.452,   109.153,   109.138,   108.660,   108.354,   108.423,   108.395,   108.292,   108.486,   108.691,   108.423,   108.363,   108.519,   108.404,
TDG(                                  , 42186.000,   112.432,   108.939,   112.198,   112.097,   112.183,   111.188,   112.427,   112.230,   111.913,   111.512,   111.232,   111.494,   111.001,   110.653,   110.620,   111.056,   110.458,   112.637,   114.085,   113.855,   114.341,   115.352,   114.694,   115.906,   115.759,   115.675,   115.625,   114.992,
Temperature, 42187.000,    19.606,    19.575,    19.546,    19.522,    19.524,    19.550,    19.762,    19.935,    19.946,    19.860,    19.736,    19.727,    19.908,    20.030,    20.008,    20.022,    20.072,    20.087,    20.550,    20.983,    20.852,    20.592,    20.933,    20.604,    20.578,    20.698,    20.625,    20.498,
N2                                    , 42187.000,    16.268,    15.781,    16.274,    16.268,    16.277,    16.084,    16.240,    16.233,    16.244,    16.257,    16.258,    16.199,    16.119,    16.084,    16.053,    16.010,    15.963,    15.764,    15.601,    15.466,    15.483,    15.599,    15.494,    15.668,    15.723,    15.716,    15.772,    15.805,
Dissolved_oxygen                      , 42187.000,     9.768,     9.468,     9.758,     9.751,     9.751,     9.637,     9.740,     9.737,     9.735,     9.730,     9.726,     9.703,     9.663,     9.644,     9.626,     9.590,     9.559,     9.430,     9.302,     9.211,     9.203,     9.231,     9.188,     9.287,     9.314,     9.313,     9.352,     9.363,
Oxyg                                  , 42187.000,   111.615,   108.120,   111.384,   111.301,   111.366,   110.524,   112.091,   112.102,   111.878,   111.540,   111.466,   111.585,   111.444,   111.187,   111.050,   110.635,   110.472,   109.783,   108.730,   108.250,   108.013,   107.582,   107.963,   108.362,   108.515,   108.713,   108.995,   108.847,
TDG(                                  , 42187.000,   112.126,   108.694,   112.023,   111.978,   112.082,   111.205,   112.663,   112.661,   112.522,   112.323,   112.286,   112.557,   113.100,   112.353,   111.987,   112.516,   111.813,   113.672,   114.547,   113.911,   114.060,   114.811,   114.310,   115.706,   115.950,   115.782,   115.997,   115.535,
Temperature, 42188.000,    19.627,    19.610,    19.598,    19.590,    19.614,    19.668,    19.900,    20.033,    20.021,    19.968,    19.876,    19.905,    20.117,    20.134,    20.104,    20.063,    20.113,    20.120,    20.539,    20.985,    20.865,    20.618,    20.953,    20.578,    20.527,    20.643,    20.579,    20.459,
N2                                    , 42188.000,    16.302,    15.793,    16.264,    16.254,    16.267,    16.061,    16.185,    16.146,    16.138,    16.155,    16.162,    16.142,    16.142,    16.134,    16.140,    16.107,    16.070,    15.899,    15.738,    15.541,    15.533,    15.638,    15.481,    15.620,    15.672,    15.686,    15.747,    15.811,
Dissolved_oxygen                      , 42188.000,     9.785,     9.472,     9.750,     9.733,     9.728,     9.607,     9.699,     9.684,     9.673,     9.670,     9.669,     9.657,     9.653,     9.646,     9.649,     9.627,     9.613,     9.512,     9.402,     9.271,     9.254,     9.283,     9.184,     9.248,     9.268,     9.283,     9.334,     9.365,
Oxyg                                  , 42188.000,   112.206,   108.592,   111.761,   111.629,   111.692,   110.795,   112.174,   111.979,   111.736,   111.491,   111.544,   111.871,   111.888,   111.765,   111.747,   111.490,   111.515,   111.040,   110.187,   109.293,   108.951,   108.537,   108.160,   108.119,   108.200,   108.571,   109.023,   109.128,
TDG(                                  , 42188.000,   112.653,   109.097,   112.323,   112.283,   112.457,   111.529,   112.699,   112.432,   112.265,   112.155,   112.236,   112.759,   113.057,   113.397,   113.203,   113.216,   113.174,   114.892,   115.655,   114.745,   114.650,   115.258,   114.303,   115.408,   115.738,   115.832,   116.175,   116.095,
Temperature, 42189.000,    19.476,    19.466,    19.469,    19.476,    19.550,    19.689,    19.949,    20.035,    20.011,    19.978,    19.966,    20.075,    20.251,    20.278,    20.280,    20.192,    20.289,    20.282,    20.686,    21.094,    20.975,    20.693,    21.007,    20.614,    20.517,    20.596,    20.514,    20.374,
N2                                    , 42189.000,    16.315,    15.816,    16.301,    16.281,    16.266,    16.060,    16.219,    16.198,    16.171,    16.160,    16.131,    16.070,    16.042,    16.026,    16.046,    16.026,    16.038,    15.867,    15.748,    15.566,    15.594,    15.725,    15.525,    15.655,    15.668,    15.651,    15.693,    15.771,
Dissolved_oxygen                      , 42189.000,     9.792,     9.483,     9.765,     9.749,     9.737,     9.619,     9.724,     9.709,     9.682,     9.659,     9.639,     9.609,     9.592,     9.579,     9.590,     9.574,     9.582,     9.475,     9.399,     9.280,     9.292,     9.341,     9.219,     9.280,     9.271,     9.257,     9.290,     9.330,
Oxyg                                  , 42189.000,   112.316,   108.765,   112.028,   112.006,   112.183,   111.392,   112.819,   112.584,   112.192,   111.898,   111.917,   111.944,   111.843,   111.739,   111.701,   111.619,   111.861,   111.270,   110.738,   109.970,   109.873,   109.657,   108.986,   108.790,   108.464,   108.452,   108.652,   108.838,
TDG(                                  , 42189.000,   112.819,   109.345,   112.686,   112.699,   112.879,   112.029,   113.329,   113.113,   112.850,   112.743,   112.716,   112.917,   113.000,   113.440,   113.154,   113.787,   114.004,   115.551,   116.039,   115.282,   115.504,   116.419,   115.074,   116.100,   116.067,   115.904,   116.112,   116.195,
Temperature, 42190.000,    19.191,    19.154,    19.165,    19.242,    19.375,    19.533,    19.803,    19.842,    19.860,    19.978,    19.992,    20.146,    20.297,    20.274,    20.347,    20.332,    20.437,    20.514,    20.986,    21.258,    21.009,    20.706,    21.029,    20.715,    20.583,    20.596,    20.487,    20.353,
N2                                    , 42190.000,    16.289,    15.788,    16.266,    16.246,    16.247,    16.048,    16.210,    16.182,    16.149,    16.159,    16.130,    16.083,    16.062,    16.012,    16.001,    15.971,    15.921,    15.686,    15.650,    15.561,    15.639,    15.786,    15.517,    15.693,    15.723,    15.684,    15.716,    15.770,
Dissolved_oxygen                      , 42190.000,     9.771,     9.465,     9.747,     9.731,     9.729,     9.614,     9.716,     9.693,     9.663,     9.659,     9.646,     9.614,     9.594,     9.560,     9.552,     9.532,     9.508,     9.361,     9.334,     9.261,     9.304,     9.370,     9.212,     9.307,     9.315,     9.287,     9.316,     9.339,
Oxyg                                  , 42190.000,   111.627,   108.146,   111.533,   111.657,   111.996,   111.247,   112.536,   112.319,   112.239,   112.188,   112.405,   112.328,   112.099,   111.883,   111.798,   111.694,   111.776,   110.764,   110.541,   110.062,   110.250,   110.326,   109.395,   109.472,   109.222,   108.990,   109.120,   109.097,
TDG(                                  , 42190.000,   112.170,   108.718,   112.164,   112.317,   112.634,   111.885,   113.050,   112.907,   113.402,   113.232,   113.090,   113.743,   113.724,   113.605,   113.589,   113.793,   114.014,   115.510,   115.915,   115.390,   116.105,   117.030,   115.549,   116.628,   116.572,   116.258,   116.307,   116.062,
Temperature, 42191.000,    19.226,    19.257,    19.275,    19.249,    19.315,    19.504,    19.764,    19.703,    19.644,    19.734,    19.826,    19.940,    20.207,    20.322,    20.355,    20.373,    20.434,    20.495,    20.879,    21.239,    21.010,    20.665,    21.003,    20.721,    20.638,    20.664,    20.570,    20.458,
N2                                    , 42191.000,    16.386,    15.853,    16.334,    16.313,    16.281,    16.003,    16.140,    16.133,    16.129,    16.133,    16.121,    16.059,    16.013,    15.997,    15.989,    15.992,    15.931,    15.745,    15.635,    15.504,    15.620,    15.781,    15.555,    15.720,    15.749,    15.690,    15.728,    15.759,
Dissolved_oxygen                      , 42191.000,     9.843,     9.523,     9.806,     9.783,     9.756,     9.590,     9.672,     9.658,     9.647,     9.645,     9.639,     9.596,     9.562,     9.549,     9.545,     9.541,     9.510,     9.389,     9.285,     9.209,     9.279,     9.354,     9.232,     9.322,     9.336,     9.298,     9.333,     9.348,
Oxyg                                  , 42191.000,   111.844,   108.239,   111.402,   111.298,   111.409,   110.087,   110.883,   110.609,   110.692,   110.847,   111.040,   111.102,   111.006,   110.959,   110.976,   110.956,   110.921,   110.076,   109.102,   108.640,   109.047,   109.305,   108.805,   108.952,   108.806,   108.493,   108.743,   108.676,
TDG(                                  , 42191.000,   112.177,   108.567,   111.789,   111.808,   111.983,   110.559,   111.370,   111.221,   111.538,   111.616,   111.682,   112.191,   112.664,   112.541,   112.778,   112.942,   112.778,   114.107,   114.402,   113.645,   114.499,   115.578,   114.504,   115.664,   115.461,   115.047,   115.107,   114.834,
Temperature, 42192.000,    19.561,    19.512,    19.481,    19.490,    19.601,    19.730,    19.776,    19.596,    19.624,    19.738,    19.782,    19.817,    20.005,    20.149,    20.271,    20.283,    20.400,    20.473,    20.773,    21.173,    21.003,    20.693,    21.015,    20.672,    20.624,    20.739,    20.691,    20.595,
N2                                    , 42192.000,    16.194,    15.719,    16.200,    16.199,    16.217,    16.063,    16.271,    16.231,    16.170,    16.128,    16.076,    16.030,    15.992,    15.960,    15.954,    15.946,    15.910,    15.746,    15.655,    15.502,    15.577,    15.748,    15.619,    15.770,    15.763,    15.682,    15.720,    15.738,
Dissolved_oxygen                      , 42192.000,     9.718,     9.425,     9.711,     9.710,     9.724,     9.640,     9.760,     9.725,     9.680,     9.645,     9.610,     9.575,     9.547,     9.527,     9.524,     9.509,     9.495,     9.365,     9.289,     9.204,     9.240,     9.317,     9.264,     9.348,     9.338,     9.291,     9.329,     9.341,
Oxyg                                  , 42192.000,   111.144,   107.707,   110.996,   111.241,   111.693,   110.828,   111.789,   111.461,   111.193,   110.855,   110.555,   110.549,   110.594,   110.639,   110.659,   110.635,   110.804,   109.695,   109.150,   108.681,   108.802,   109.024,   109.133,   109.346,   109.117,   108.800,   109.111,   109.034,
TDG(                                  , 42192.000,   111.630,   108.246,   111.567,   111.812,   112.204,   111.285,   112.288,   112.118,   112.137,   111.951,   111.321,   111.842,   112.840,   113.127,   112.740,   113.037,   113.053,   113.788,   114.616,   113.801,   114.230,   115.367,   114.824,   115.966,   115.763,   115.088,   115.267,   115.026,
Temperature, 42193.000,    19.750,    19.733,    19.712,    19.696,    19.738,    19.859,    19.986,    19.901,    19.909,    19.924,    19.881,    19.835,    19.983,    20.092,    20.193,    20.187,    20.266,    20.358,    20.686,    21.122,    20.983,    20.695,    21.040,    20.685,    20.653,    20.775,    20.725,    20.636,
N2                                    , 42193.000,    15.604,    15.140,    15.630,    15.672,    15.702,    15.615,    15.910,    16.024,    16.100,    16.140,    16.163,    16.083,    15.985,    15.911,    15.900,    15.906,    15.864,    15.730,    15.638,    15.477,    15.564,    15.742,    15.633,    15.768,    15.767,    15.695,    15.738,    15.761,
Dissolved_oxygen                      , 42193.000,     9.368,     9.088,     9.374,     9.393,     9.412,     9.362,     9.535,     9.594,     9.637,     9.659,     9.673,     9.614,     9.546,     9.497,     9.491,     9.482,     9.464,     9.373,     9.286,     9.186,     9.227,     9.300,     9.261,     9.335,     9.329,     9.291,     9.331,     9.349,
Oxyg                                  , 42193.000,   107.845,   104.580,   107.845,   108.161,   108.647,   108.326,   110.168,   110.864,   111.382,   111.521,   111.590,   111.205,   110.708,   110.369,   110.333,   110.282,   110.500,   109.881,   109.278,   108.673,   108.895,   109.124,   109.384,   109.529,   109.347,   109.116,   109.473,   109.462,
TDG(                                  , 42193.000,   108.235,   104.976,   108.331,   108.701,   109.151,   108.830,   110.700,   111.566,   112.068,   112.357,   112.256,   112.599,   112.712,   113.212,   113.010,   112.890,   113.218,   113.601,   114.491,   113.852,   114.353,   115.522,   114.616,   116.071,   116.079,   115.592,   115.884,   115.775,
Temperature, 42194.000,    20.065,    20.036,    19.993,    19.966,    19.998,    20.083,    20.192,    20.147,    20.106,    20.108,    20.093,    20.102,    20.195,    20.162,    20.172,    20.185,    20.300,    20.415,    20.779,    21.182,    21.043,    20.749,    21.069,    20.694,    20.616,    20.710,    20.656,    20.569,
N2                                    , 42194.000,    15.590,    15.106,    15.547,    15.527,    15.519,    15.330,    15.493,    15.511,    15.564,    15.646,    15.774,    15.921,    16.004,    16.003,    15.980,    15.926,    15.817,    15.639,    15.564,    15.406,    15.516,    15.720,    15.591,    15.782,    15.803,    15.754,    15.793,    15.829,
Dissolved_oxygen                      , 42194.000,     9.327,     9.032,     9.290,     9.274,     9.275,     9.179,     9.281,     9.288,     9.315,     9.358,     9.431,     9.515,     9.561,     9.559,     9.546,     9.507,     9.442,     9.326,     9.264,     9.157,     9.207,     9.295,     9.224,     9.322,     9.332,     9.315,     9.354,     9.373,
Oxyg                                  , 42194.000,   108.407,   104.892,   107.825,   107.730,   107.933,   107.052,   108.146,   108.148,   108.479,   108.943,   109.829,   110.984,   111.462,   111.478,   111.378,   111.041,   110.804,   109.886,   109.516,   108.882,   109.185,   109.507,   109.401,   109.708,   109.668,   109.649,   110.003,   110.043,
TDG(                                  , 42194.000,   108.867,   105.385,   108.392,   108.322,   108.457,   107.398,   108.466,   108.549,   108.931,   109.482,   110.334,   112.037,   112.461,   113.080,   113.414,   113.235,   113.566,   114.036,   114.468,   113.713,   114.316,   115.604,   114.809,   116.270,   116.380,   116.212,   116.486,   116.455,
Temperature, 42195.000,    20.387,    20.401,    20.404,    20.380,    20.386,    20.439,    20.503,    20.458,    20.353,    20.290,    20.256,    20.292,    20.352,    20.333,    20.326,    20.278,    20.369,    20.461,    20.833,    21.260,    21.111,    20.765,    21.068,    20.655,    20.582,    20.669,    20.613,    20.511,
N2                                    , 42195.000,    15.429,    14.947,    15.407,    15.436,    15.470,    15.330,    15.504,    15.491,    15.463,    15.451,    15.416,    15.444,    15.550,    15.651,    15.707,    15.773,    15.762,    15.604,    15.541,    15.358,    15.486,    15.687,    15.593,    15.778,    15.811,    15.767,    15.809,    15.841,
Dissolved_oxygen                      , 42195.000,     9.249,     8.960,     9.228,     9.228,     9.240,     9.163,     9.269,     9.252,     9.227,     9.218,     9.206,     9.226,     9.286,     9.344,     9.376,     9.413,     9.410,     9.307,     9.258,     9.146,     9.191,     9.286,     9.225,     9.313,     9.323,     9.308,     9.349,     9.368,
Oxyg                                  , 42195.000,   108.571,   105.195,   108.300,   108.318,   108.574,   107.807,   108.944,   108.513,   108.091,   107.901,   107.854,   108.209,   108.909,   109.599,   109.888,   110.435,   110.777,   110.088,   109.902,   109.170,   109.304,   109.694,   109.586,   109.805,   109.752,   109.763,   110.110,   110.119,
TDG(                                  , 42195.000,   109.143,   105.741,   108.943,   109.123,   109.450,   108.600,   109.742,   109.411,   109.092,   108.988,   108.753,   109.421,   110.321,   111.368,   111.510,   112.471,   113.510,   114.477,   114.833,   113.812,   114.661,   115.956,   115.355,   116.701,   116.981,   116.727,   116.967,   116.985,
Temperature, 42196.000,    20.697,    20.686,    20.684,    20.694,    20.696,    20.740,    20.807,    20.756,    20.687,    20.677,    20.642,    20.606,    20.571,    20.520,    20.530,    20.511,    20.547,    20.626,    20.946,    21.278,    21.113,    20.788,    21.094,    20.688,    20.614,    20.678,    20.603,    20.489,
N2                                    , 42196.000,    15.343,    14.854,    15.273,    15.274,    15.309,    15.176,    15.348,    15.338,    15.341,    15.377,    15.419,    15.401,    15.371,    15.351,    15.350,    15.379,    15.369,    15.263,    15.354,    15.285,    15.434,    15.656,    15.572,    15.746,    15.784,    15.768,    15.821,    15.857,
Dissolved_oxygen                      , 42196.000,     9.216,     8.931,     9.190,     9.182,     9.185,     9.090,     9.187,     9.174,     9.167,     9.177,     9.197,     9.181,     9.162,     9.155,     9.156,     9.172,     9.174,     9.100,     9.140,     9.102,     9.166,     9.267,     9.216,     9.301,     9.310,     9.304,     9.346,     9.369,
Oxyg                                  , 42196.000,   108.210,   104.856,   107.914,   107.837,   107.974,   106.989,   108.027,   107.730,   107.628,   107.665,   107.829,   107.549,   107.242,   107.210,   107.213,   107.401,   107.767,   107.302,   108.012,   108.055,   108.418,   108.964,   108.922,   109.139,   109.028,   109.108,   109.423,   109.500,
TDG(                                  , 42196.000,   108.795,   105.339,   108.359,   108.364,   108.663,   107.805,   108.906,   108.680,   108.697,   108.880,   109.032,   109.035,   108.765,   108.955,   108.893,   109.220,   110.121,   111.555,   112.951,   112.772,   113.777,   115.289,   114.669,   115.954,   116.246,   116.177,   116.467,   116.577,
Temperature, 42197.000,    20.715,    20.683,    20.685,    20.707,    20.723,    20.777,    20.842,    20.825,    20.805,    20.811,    20.809,    20.813,    20.793,    20.755,    20.703,    20.682,    20.676,    20.622,    20.758,    21.213,    21.147,    20.800,    21.029,    20.680,    20.612,    20.699,    20.644,    20.569,
